i,d,y,n,resid_ols,resid_wls
5,2025-06-09,88.73313073201865,24,-3.2783957708821987,-3.294140910357143
5,2025-06-10,87.9734414470806,24,-3.895224559105273,-3.9108037485847547
5,2025-06-11,87.6658318141424,13,-4.0576933500540235,-4.073105951685207
5,2025-06-12,85.8415930229327,23,-5.734456799157471,-5.749702178460964
5,2025-06-13,88.33223989432435,24,-3.0939466215165226,-3.109024147574118
5,2025-06-15,104.216035748573,13,-1.914136346942044,-1.890445801050646
5,2025-06-16,104.208854767461,23,-1.7639764894335173,-1.740116220769977
5,2025-06-17,104.717821033274,24,-1.0950747861665917,-1.0710441799130592
5,2025-06-18,105.754583111811,23,0.10426710554126828,0.12846865971967247
5,2025-06-19,105.864148792506,16,0.37910596949433284,0.40347907726875576
5,2025-06-20,104.2991413836035,20,-1.017886688704266,-0.9933414265054807
5,2025-06-21,103.7963596848155,24,-1.3498646832577492,-1.3251466708269248
5,2025-06-22,102.688133976681,23,-0.373819867508729,-0.37190342152416633
5,2025-06-24,102.643564623054,22,-0.06242220681791366,-0.06015732897613191
5,2025-06-25,103.256238812815,16,0.7326686510458558,0.7351086086408145
5,2025-06-26,104.412107545114,21,2.073967284145496,2.0765828895847847
5,2025-06-27,103.6011877602725,24,1.4515328654640882,1.454324680784552
5,2025-06-28,101.82016454375552,16,-0.13790819103293472,-0.13493961001530863
5,2025-06-29,102.8317524475685,18,1.0683990787689766,1.0715449749145733
5,2025-06-30,101.282579544016,23,-0.2828777690661184,-0.2795540149095075
5,2025-07-01,103.212510901768,22,1.8481648778576414,1.8516670261998343
5,2025-07-02,102.51513650753152,18,1.355154598533801,1.3588356703690323
5,2025-07-03,101.5023415528335,24,0.5500132142124414,0.553873731824396
5,2025-07-05,101.8521675600315,24,1.3251563698829187,1.329377317033817
5,2025-07-06,101.581945063296,21,1.2726658017614625,1.27706771786292
5,2025-07-07,101.464907944612,12,1.376786747966051,1.3813701256827073
5,2025-07-08,100.925075057798,23,1.0615697224382785,1.0663350466599866
5,2025-07-09,101.23228288327748,24,1.5968818425071305,1.6018295902054547
5,2025-07-10,102.741621538105,24,3.33784282984918,3.3429734699362257
5,2025-07-11,99.77825723810534,12,0.6096474638671623,0.614961457056836
5,2025-07-12,100.929540430013,19,1.9996737053770914,2.0051715040487608
5,2025-07-13,101.265582960875,24,2.578059857869164,2.5837419059338345
5,2025-07-14,99.0492320687316,23,0.6076785503597364,0.6135452831285733
5,2025-07-15,100.49230430689848,24,2.3003706541596785,2.306422498215298
5,2025-07-17,100.32484232677,13,2.6431911125147565,2.6496144233489787
5,2025-07-18,99.37267022990493,22,1.9517247964222122,1.9583344446703705
5,2025-07-19,100.0519578857738,24,2.895454917120759,2.9022512932152864
5,2025-07-20,101.34396955376953,24,4.455664585576102,4.462648070616183
5,2025-07-21,98.21976824206124,12,1.6034345502067993,1.6106055158456343
5,2025-07-22,100.442089663406,16,4.101517147446202,4.10887595578113
5,2025-07-23,98.88985435836136,24,2.8288484200359676,2.8363954235011875
5,2025-07-24,99.1505824707858,18,3.372962887939039,3.380698429201402
5,2025-07-25,99.0927625480326,20,3.602362344279456,3.6102867561370573
5,2025-07-26,98.1885153195628,16,2.9891796300357214,2.9972932353193613
5,2025-07-27,99.26184259555396,24,4.35742752906539,4.36573064054312
5,2025-07-28,98.43190569210984,24,3.8262771900676995,3.834770110352224
5,2025-07-29,96.7418710936019,24,2.4389037860152314,2.4475868074744085
5,2025-07-31,96.41476408101434,24,2.7287720717119157,2.737836131214763
5,2025-08-02,97.6808606246281,19,4.627417992702064,4.636864134676628
5,2025-08-03,97.73315740258816,12,5.001839243422324,5.011476791816833
5,2025-08-05,97.42477265197736,22,5.349411918641579,5.359432956659134
5,2025-08-06,96.6492710203904,14,4.907743340474056,4.917956440059072
5,2025-08-07,96.9232542303229,19,5.5194606394962165,5.529865997291168
5,2025-08-08,97.5582473677319,24,6.496086065067161,6.506683866744837
5,2025-08-09,96.8744105404374,23,6.157775734869034,6.168566155077542
5,2025-08-10,96.6723162644342,13,6.305097022399821,6.31608022471093
5,2025-08-11,97.1617231242901,23,7.1478022188930765,7.158978355753845
5,2025-08-12,97.1286899686811,24,7.47194273071554,7.483311943403194
5,2025-08-13,97.19874893045524,12,7.903042101633346,7.91460452021343
5,2025-08-14,96.8182078700003,18,7.887398458721194,7.899154202009143
5,2025-08-15,96.7237890857024,23,8.161723225701337,8.173672401227265
5,2025-08-16,96.418093445772,23,8.228605257987454,8.240747961964402
5,2025-08-17,96.6059915055167,12,8.792901963512392,8.805238280807785
5,2025-08-18,96.56666102249196,24,9.133776821769217,9.14630682587979
5,2025-08-20,101.234257626345,23,-1.747990445881726,-1.6950968473001353
5,2025-08-21,101.074890366614,14,-1.5158291877014989,-1.4627417502393882
5,2025-08-22,100.658113895032,24,-1.5373387755018229,-1.4840574713289811
5,2025-08-23,100.412319910868,23,-1.3841473714912667,-1.3306721842232037
5,2025-08-24,100.282388668127,24,-1.1113956835075953,-1.0577266082103591
5,2025-08-25,100.56014794464,18,-0.4272779897250274,-0.3734150329166539
5,2025-08-26,100.20826715523,13,-0.3691480189612548,-0.3150911986098066
5,2025-08-27,99.5026146136433,17,1.2494696234320202,1.2807453706247571
5,2025-08-28,99.64642308322168,20,1.810519792090588,1.8419893325646797
5,2025-08-29,99.6331940931294,24,2.2181089573295907,2.2497722388122128
5,2025-08-30,99.8563304911638,24,2.8656125444364307,2.8974695032462847
5,2025-08-31,99.9072148205247,23,3.3443846238849204,3.376435184951035
5,2025-09-01,99.27860817967544,22,3.14715677962171,3.1794008565056657
5,2025-09-02,98.4635595033868,16,2.7669473988440245,2.7993848937656196
5,2025-09-03,97.4125628040355,17,2.1542189223377335,2.1868497262038176
5,2025-09-05,96.2607437692144,24,1.8890917651145571,1.9221088145032752
5,2025-09-06,95.99371913725685,24,2.070422610223005,2.103632573738821
5,2025-09-07,94.9506293963016,23,1.4789809384689505,1.5123836621231845
5,2025-09-08,94.3988268402433,15,1.382082498169666,1.4156778168554496
5,2025-09-09,94.01624909724146,12,1.4576274083906213,1.491415145931711
5,2025-09-10,93.47874808789835,24,1.381429128223175,1.4154090974261067
5,2025-09-11,93.4399039892108,24,1.807028432117562,1.8412004348269875
5,2025-09-12,92.8066081563708,23,1.641276343343307,1.675640170500671
5,2025-09-13,92.5714823313536,13,1.8767533545124309,1.911308786217802
5,2025-09-14,91.8494114469986,24,1.628302243866358,1.6630490494436145
5,2025-09-15,91.00096548170174,24,1.2564499424427567,1.2913878805077559
5,2025-09-16,91.111281268524,24,1.8462893559224938,1.8814181744544385
5,2025-09-17,90.62327945168796,16,1.8406963341247717,1.8760157705409313
5,2025-09-18,89.8970839467425,19,1.5997491444274203,1.6352589256607217
5,2025-09-19,89.5078939564032,24,1.6986005011152514,1.7343003436951392
5,2025-09-20,87.8073741730856,23,0.48886778167000955,0.5247573918062756
5,2025-09-21,86.7435088970311,17,-0.08151284110259382,-0.045433767432768946
5,2025-09-22,85.93620923182,13,-0.3926791893178887,-0.3564109662800661
5,2025-09-23,85.2979520903881,18,-0.5322040595180226,-0.49574701132753773
5,2025-09-24,84.5588304460917,17,-0.7700449568969816,-0.7333994177229499
5,2025-09-25,84.20803991820804,24,-0.6170574948627632,-0.5802238087292011
5,2025-09-26,83.1236368116495,23,-1.1952373401626204,-1.158215860846667
5,2025-09-27,82.39948960167845,20,-1.4107687127889221,-1.3735598037161907
5,2025-09-28,81.19443722367025,14,-2.1048660806228554,-2.0674701147597716
5,2025-09-29,81.2070002762784,24,-1.5790629404662866,-1.541480300209841
5,2025-09-30,80.5525469881902,23,-1.7180458352784598,-1.680276912343004
5,2025-10-01,80.22660060573475,14,-1.52634695036015,-1.4883921456614928
5,2025-10-02,79.00286798233239,14,-2.2303155075011887,-2.1921752310378935
5,2025-10-03,78.89556697517631,20,-1.8157903517051466,-1.7774650224373119
5,2025-10-04,77.86122307048605,24,-2.326303309156927,-2.287793354882126
5,2025-10-05,76.7257405576433,23,-2.936007996127117,-2.897313853353836
5,2025-10-09,74.68479210697839,24,-2.855554269380349,-2.8161279073424907
5,2025-10-10,73.0452028689094,13,-3.96051942800041,-3.9209111860613035
5,2025-10-11,73.00556314218281,24,-3.4639471175467946,-3.4241574816803535
5,2025-10-12,72.7285623803379,23,-3.2032094538962212,-3.1632389178311513
5,2025-10-13,71.96244560425785,24,-3.4301234372644416,-3.389972502338111
5,2025-10-14,71.1034200168795,12,-3.748544319143292,-3.7082134941534264
5,2025-10-15,70.51968313728325,24,-3.790337449729634,-3.749827250783696
5,2025-10-16,69.753171707633,15,-4.013629352381301,-3.9729403027438224
5,2025-10-17,69.50831923380245,18,-3.7140501642696364,-3.6731827942073494
5,2025-10-18,68.93941676566851,24,-3.7373728372529342,-3.6963276838778683
5,2025-10-19,68.3679427373201,15,-3.762183278728614,-3.720960885839091
5,2025-10-20,66.89764852953205,20,-4.684794770119581,-4.643395688039433
5,2025-10-21,67.49940284158754,24,-3.5344035759171675,-3.492828361332741
5,2025-10-22,66.849720804334,24,-3.6345598114015445,-3.5928090271970348
5,2025-10-23,65.5566369113532,17,-4.37729449216404,-4.335368707254972
5,2025-10-24,64.0461986666801,19,-5.336625867003306,-5.294525656168091
5,2025-10-25,64.5053788143034,24,-4.3256471689672935,-4.283373112677182
5,2025-10-26,63.6889525440588,21,-4.5896493899363335,-4.547202074183652
5,2025-10-27,63.8513412180789,21,-3.8742775345890124,-3.8316575507137713
5,2025-10-28,62.72249146935465,16,-4.4496515022018315,-4.406859446716737
5,2025-10-29,62.108309294307645,24,-4.509931974388806,-4.466968448802675
5,2025-10-30,61.0594459241889,23,-5.004534523971593,-4.961400134611445
5,2025-10-31,61.17836741260845,22,-4.331060007681529,-4.287755365513107
5,2025-11-01,60.61897423991425,14,-4.33567494198094,-4.292200662427959
5,2025-11-02,60.26809220051325,24,-4.131620595916573,-4.087977298678538
5,2025-11-03,60.2092584882449,24,-3.63542688590087,-3.591615194769787
5,2025-11-04,60.0861439180521,13,-3.203490134182104,-3.1595106768578347
5,2025-11-05,59.165750870631,23,-3.5688751043275744,-3.52472851223213
5,2025-11-07,73.88237424649284,24,-6.902197637020777,-6.814393928535424
5,2025-11-08,73.1680613922986,23,-7.062034786143613,-6.974065857612047
5,2025-11-09,72.1193252463777,23,-7.5566067221164985,-7.468473217970541
5,2025-11-10,71.3285735636598,13,-7.793572571762567,-7.705275139211977
5,2025-11-11,70.7590990735894,23,-7.809706375422266,-7.721245664263293
5,2025-11-12,70.07926287309826,24,-7.936713674222744,-7.848090336645768
5,2025-11-13,69.96946738310365,24,-7.494258533860361,-7.405473224256937
5,2025-11-14,69.26922782062275,20,-5.73226074748186,-5.666289029540081
5,2025-11-15,68.4246644799756,23,-6.025928756176967,-5.959796380820293
5,2025-11-16,67.78028956328964,24,-6.120184966927624,-6.053892593986973
5,2025-11-17,67.09326116120245,24,-6.257936973719339,-6.191485264448886
5,2025-11-18,66.27020603970675,24,-6.532623445929133,-6.466013062810674
5,2025-11-19,65.5208932934658,23,-6.734540455646879,-6.6677720621937056
5,2025-11-20,65.3026820896581,13,-6.406393714546638,-6.339467975107297
5,2025-11-21,64.89994261433864,24,-6.263877608326823,-6.196795187888455
5,2025-11-22,64.55439363124074,24,-6.065337618800356,-5.9980991827919325
5,2025-11-23,64.1231133782396,23,-5.953759408420055,-5.88636562251547
5,2025-11-24,63.5802397540625,13,-5.955068614659062,-5.887520144580158
