i,T_M,T_L,T_L_label,L_days,L_years,retired,n_M,n_L,cost_total,EAC
1,60,360,360,1635,4.476,True,27.25,4.54,436.25,97.456
1,60,450,450,1630,4.463,True,27.17,3.62,424.97,95.226
1,60,540,540,1512,4.14,True,25.2,2.8,409.2,98.849
1,60,720,720,1342,3.674,True,22.37,1.86,389.47,106.001
1,60,99999,inf,1001,2.741,True,16.68,0.0,350.05,127.728
1,70,120,120,1709,4.679,True,24.41,14.24,544.14,116.295
1,70,180,180,1686,4.616,True,24.09,9.37,484.66,104.995
1,70,240,240,1644,4.501,True,23.49,6.85,452.66,100.568
1,70,300,300,1627,4.454,True,23.24,5.42,434.81,97.611
1,70,360,360,1607,4.4,True,22.96,4.46,422.44,96.015
1,70,450,450,1580,4.326,True,22.57,3.51,409.85,94.745
1,70,540,540,1494,4.09,True,21.34,2.77,397.23,97.114
1,70,720,720,1327,3.633,True,18.96,1.84,378.99,104.315
1,70,99999,inf,987,2.702,True,14.1,0.0,342.3,126.672
1,80,120,120,1692,4.632,True,21.15,14.1,532.65,114.983
1,80,180,180,1640,4.49,True,20.5,9.11,470.83,104.861
1,80,240,240,1616,4.424,True,20.2,6.73,441.4,99.766
1,80,300,300,1611,4.411,True,20.14,5.37,424.85,96.324
1,80,360,360,1560,4.271,True,19.5,4.33,410.5,96.112
1,80,450,450,1547,4.235,True,19.34,3.44,399.27,94.268
1,80,540,540,1474,4.036,True,18.42,2.73,388.03,96.152
1,80,720,720,1307,3.578,True,16.34,1.82,370.8,103.621
1,80,99999,inf,974,2.667,True,12.18,0.0,336.52,126.197
1,90,120,120,1644,4.501,True,18.27,13.7,519.2,115.351
1,90,180,180,1619,4.433,True,17.99,8.99,461.9,104.206
1,90,240,240,1585,4.339,True,17.61,6.6,432.08,99.57
1,90,300,300,1568,4.293,True,17.42,5.23,414.99,96.667
1,90,360,360,1536,4.205,True,17.07,4.27,402.4,95.688
1,90,450,450,1508,4.129,True,16.76,3.35,390.48,94.577
1,90,540,540,1459,3.995,True,16.21,2.7,381.06,95.394
1,90,720,720,1288,3.526,True,14.31,1.79,364.4,103.336
1,90,99999,inf,952,2.606,True,10.58,0.0,331.73,127.275
